IndividualID,FragID,ReefZone,LocationID,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,time_without_bleaching,time_alive,min_health_score,time_to_recovery,ITS2,SurvivalT12,tempPC1,tempPC2
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T2,18/2/2024,30.3,Alive,D,2,PartialBleaching,0.7,11.193,NA,1.021766746,30.31035114,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T3,25/2/2024,29.6,Alive,C,3,NoBleaching,0,5.925,NA,1.022006253,16.05117118,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T4,2/3/2024,28.6,Alive,D,3,PartialBleaching,0.4,7.816,NA,1.02234225,21.18590447,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T5,10/3/2024,26.5,Alive,D,3,PartialBleaching,0.5,7.225,NA,1.023023824,19.60631004,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T6,16/3/2024,26.8,PartiallyDead,D,2,NoBleaching,0,7.198,NA,1.022928476,19.5299215,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T7,23/3/2024,26.1,PartiallyDead,D,2,NoBleaching,0,7.226,NA,1.023149895,19.61316567,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T8,30/3/2024,26.7,PartiallyDead,D,2,NoBleaching,0,7.263,NA,1.022960334,19.70733381,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T9,6/4/2024,27.5,PartiallyDead,D,2,NoBleaching,0,7.221,NA,1.022703365,19.58494208,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T10,13/4/2024,25.8,PartiallyDead,C,3,NoBleaching,0,7.274,NA,1.023243649,19.74655147,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T11,19/4/2024,24.1,PartiallyDead,C,3,NoBleaching,0,7.256,NA,1.02376184,19.71480658,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T12,27/4/2024,25.7,PartiallyDead,D,2,NoBleaching,0,7.091,NA,1.023274748,19.25076902,0,12,2,1,C8,0.5,-5.289355926,-0.538289602
EXP15,EXP15_T2,Windward,FR2,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,T0,4/2/2024,30.8,Alive,D,4,NoBleaching,0,9.827,NA,1.021593521,26.60355552,12,7,2,NA,C8,NA,-5.29763619,-0.422739886
