IndividualID,FragID,LocationID,ReefZone,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,max_bleaching,SurvivalT12,max_bleaching_adj,tempPC2,tempPC1
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T0,4/2/2024,30.8,Alive,D,4,NoBleaching,0,9.827,NA,1.021593521,26.60355552,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T1,10/2/2024,29.7,Alive,D,3,NoBleaching,0,9.815,NA,1.021972254,26.58789679,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T2,18/2/2024,30.3,Alive,D,3,NoBleaching,0,9.98,Pink,1.021766746,27.02557888,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T3,25/2/2024,29.6,Alive,C,3,NoBleaching,0,9.975,Pink,1.022006253,27.02285781,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T4,2/3/2024,28.6,Alive,C,3,NoBleaching,0,10.242,Pink,1.02234225,27.76177502,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T5,10/3/2024,26.5,PartiallyDead,D,2,NoBleaching,0,9.982,RTN,1.023023824,27.08791513,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T6,16/3/2024,26.8,PartiallyDead,D,2,NoBleaching,0,9.989,NA,1.022928476,27.10258209,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T7,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,NA,1.023149895,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T8,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,NA,1.022960334,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T9,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,NA,1.022703365,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T10,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,NA,1.023243649,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T11,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,NA,1.02376184,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_T2,FR2,Windward,2,T2_2,Tank11,18/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T12,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,NA,1.023274748,0,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T0,4/2/2024,30.8,Alive,D,3,NoBleaching,0,6.245,NA,1.021593521,16.90640116,0,Dead,1.00E-06,-0.840622839,1.937431223
EXP15,EXP15_C,FR2,Windward,2,C_2,Tank9,15/3/2024,10.5,151.9510635,-23.4708255,PartiallyDead,Taxon1,NoBleaching,28.39861107,21.66318321,6.735427856,24.81371681,C8/C8a,T1,10/2/2024,29.7,Alive,C,3,NoBleaching,0,6.237,NA,1.021972254,16.89543681,0,Dead,1.00E-06,-0.840622839,1.937431223
