IndividualID,FragID,LocationID,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,max_bleaching,SurvivalT12,max_bleaching_adj,tempPC2,tempPC1
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T3,24/2/2024,30.1,Alive,D,3,PartialBleaching,0.1,8.266,NA,1.021835536,22.38668594,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T4,2/3/2024,28.6,Alive,D,3,PartialBleaching,0.3,8.279,NA,1.02234225,22.44090367,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T5,9/3/2024,26.5,Alive,D,3,PartialBleaching,0.5,8.293,NA,1.023023824,22.50451615,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T6,16/3/2024,26.8,Alive,D,3,PartialBleaching,0.7,8.317,NA,1.022928476,22.56604017,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T7,23/3/2024,26.1,Alive,D,3,PartialBleaching,0.7,8.303,NA,1.023149895,22.5364122,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T8,30/3/2024,26.7,Alive,D,4,PartialBleaching,0.7,8.337,NA,1.022960334,22.62151205,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T9,6/4/2024,27.5,PartiallyDead,d,3,PartialBleaching,0.75,8.337,TLT,1.022703365,22.61177982,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T10,13/4/2024,25.8,PartiallyDead,D,4,PartialBleaching,0.6,8.331,PDT,1.023243649,22.61596374,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T11,19/4/2024,24.1,Alive,D,5,PartialBleaching,0.5,8.33,NA,1.02376184,22.63290226,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T12,27/4/2024,25.7,PartiallyDead,D,5,NA,0.5,8.324,PDT,1.023274748,22.59813867,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T0,3/2/2024,30.7,Alive,C,5,NoBleaching,0,7.164,NA,1.021628308,19.39543624,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T1,10/2/2024,29.7,Alive,D,4,NoBleaching,0,6.684,NA,1.021972254,18.10631708,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T2,17/2/2024,29.3,Alive,D,3,NoBleaching,0,5.83,NA,1.022107816,15.79649351,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T3,24/2/2024,30.1,Alive,D,3,NoBleaching,0,6.815,NA,1.021835536,18.45696403,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T4,3/3/2024,28.6,Alive,D,3,PartialBleaching,0.8,6.779,NA,1.02234225,18.37503152,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T5,9/3/2024,26.5,Alive,D,3,PartialBleaching,0.8,6.821,NA,1.023023824,18.50998489,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T6,16/3/2024,26.8,Alive,D,2,PartialBleaching,0.8,6.868,TN tips,1.022928476,18.63455138,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T7,23/3/2024,26.1,Alive,D,3,PartialBleaching,0.8,6.876,NA,1.023149895,18.66317841,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T8,30/3/2024,26.7,Alive,D,2,PartialBleaching,0.75,6.913,NA,1.022960334,18.75764817,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T9,6/4/2024,27.5,Alive,D,3,PartialBleaching,0.75,6.931,NA,1.022703365,18.79839822,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T10,13/4/2024,25.8,Alive,D,3,PartialBleaching,0.75,6.92,NA,1.023243649,18.78555625,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T11,19/4/2024,24.1,Alive,D,4,NoBleaching,0,6.905,NA,1.02376184,18.76112727,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T12,27/4/2024,25.7,Alive,D,4,NA,0.5,6.901,NA,1.023274748,18.73495374,0.8,Alive,0.8,-0.422739886,-5.29763619
EXP03,EXP03_C,H5b,2,C_2,Tank9,20/3/2024,5.6,151.99738,-23.43217,Dead,Taxon4,,28.16449738,21.75531197,6.40918541,24.72754298,C78/noName,T0,3/2/2024,30.7,Alive,C,5,NoBleaching,0,4.709,NA,1.021628308,12.74889856,0.6,Dead,0.6,-0.538289602,-5.289355926
EXP03,EXP03_C,H5b,2,C_2,Tank9,20/3/2024,5.6,151.99738,-23.43217,Dead,Taxon4,,28.16449738,21.75531197,6.40918541,24.72754298,C78/noName,T1,10/2/2024,29.7,Alive,D,3,NoBleaching,0,4.954,NA,1.021972254,13.41991245,0.6,Dead,0.6,-0.538289602,-5.289355926
